question,A,B,C,D,answer,reasoning
Hàm số bậc hai có bảng biến thiên như hình vẽ dưới đây là:,2x^2 + 4x + 1,x^2 + 4x + 2,2x^2 - 4x + 5,x^2 - 2x + 1,B,"Trường hợp 1: x0 ≤ –3. Ta có f(x0) = 5. ⇔ –2x0 + 1 = 5. ⇔ –2x0 = 4. ⇔ x0 = –2. So với điều kiện x0 ≤ –3, ta loại x0 = –2. Trường hợp 2: x0 > –3. Ta có f(x0) = 5. ⇔ x0 + 7 = 10. ⇔ x0 = 3. So với điều kiện x0 > –3, ta nhận x0 = 3. Vì vậy nếu f(x0) = 5 thì x0 = 3."
Nếu f(x0) = 5 thì x0 bằng:,–2,3,0,1,B,"Trường hợp 1: x0 ≤ –3. Ta có f(x0) = 5. ⇔ –2x0 + 1 = 5. ⇔ –2x0 = 4. ⇔ x0 = –2. So với điều kiện x0 ≤ –3, ta loại x0 = –2. Trường hợp 2: x0 > –3. Ta có f(x0) = 5. ⇔ x0 + 7 = 10. ⇔ x0 = 3. So với điều kiện x0 > –3, ta nhận x0 = 3. Vì vậy nếu f(x0) = 5 thì x0 = 3. Vậy ta chọn phương án B."
"Xác định các hệ số m, n để parabol (P): y = mx^2 + 4x – n (m ≠ 0) có đỉnh S(–1; –5).","m = 3, n = –2;","m = 3, n = 2;","m = 2, n = 3;","m = 2, n = –3.",C,"Hàm số đã cho có dạng y = ax^2 + bx + c, với a = m, b = 4, c = –n (m ≠ 0). Ta có xS = –1. Suy ra –2m = –4. Vì vậy m = 2. Lại có đỉnh S(–1; –5) nằm trên parabol (P). Suy ra –5 = m.(–1)^2 + 4.(–1) – n. Khi đó m – n = –1. Vì vậy 2 – n = –1. Do đó n = 3. Vậy m = 2, n = 3 thỏa mãn yêu cầu bài toán."
Cho hàm số f(x) = √(2x - 7) Khẳng định nào sau đây đúng?,2,Hàm số đồng biến trên ℝ;,Hàm số đồng biến trên [;+∞),Hàm số nghịch biến trên ℝ.,C,Vì √(2x - 7) < 1 nên ta có h = -2√(2/2) + 1 = -3
Vì 2+1=1,2,3,-3,6,D,"Quan sát đồ thị ta thấy: ⦁ Trên khoảng (–3; –1), đồ thị có dạng đi lên từ trái sang phải nên hàm số đồng biến trên khoảng (–3; –1). ⦁ Trên khoảng (–1; 1), đồ thị có dạng đi xuống từ trái sang phải nên hàm số nghịch biến trên khoảng (–1; 1). ⦁ Trên khoảng (1; 3), đồ thị có dạng đi lên từ trái sang phải nên hàm số đồng biến trên khoảng (1; 3). Phương án A sai vì hàm số đồng biến trên khoảng (1; 2). Phương án B sai vì hàm số không xác định trên khoảng (3; 4). Phương án C sai vì hàm số nghịch biến trên khoảng (–1; 1). Phương án D đúng. Vậy ta chọn phương án D."
Hàm số nghịch biến trên (–1; 2);,Hàm số đồng biến trên (–3; –1) và (1; 4);,Hàm số đồng biến trên (–3; 3);,Hàm số đồng biến trên (–3; –1) và (1; 3).,,D,"Quan sát đồ thị ta thấy: ⦁ Trên khoảng (–3; –1), đồ thị có dạng đi lên từ trái sang phải nên hàm số đồng biến trên khoảng (–3; –1). ⦁ Trên khoảng (–1; 1), đồ thị có dạng đi xuống từ trái sang phải nên hàm số nghịch biến trên khoảng (–1; 1). ⦁ Trên khoảng (1; 3), đồ thị có dạng đi lên từ trái sang phải nên hàm số đồng biến trên khoảng (1; 3). Phương án A sai vì hàm số đồng biến trên khoảng (1; 2). Phương án B sai vì hàm số không xác định trên khoảng (3; 4). Phương án C sai vì hàm số nghịch biến trên khoảng (–1; 1). Phương án D đúng. Vậy ta chọn phương án D."
"a < 0, b > 0, c > 0.","a < 0, b > 0, c > 0.","a > 0, b > 0, c > 0.","a < 0, b < 0, c > 0.","a < 0, b > 0, c < 0.",D,"Vì đồ thị là một parabol có bề lõm quay xuống dưới nên a < 0. Vì đỉnh S của parabol nằm bên phải trục Oy nên ta có hoành độ của đỉnh S là một số dương. Mà a < 0. Suy ra –b < 0. Do đó b > 0. Ngoài ra, parabol cắt trục Oy tại điểm M có tung độ là c > 0. Vậy a < 0, b > 0, c > 0."
Hàm số đã cho đồng biến trên tập xác định;,Hàm số đã cho đồng biến trên tập xác định;,Hàm số đã cho nghịch biến trên tập xác định;,"Hàm số đã cho vừa đồng biến, vừa nghịch biến trên tập xác định;",Không thể xác định được hàm số đồng biến hay nghịch biến trên tập xác định.,A,"Xét hàm số y = f(x) = x^3 + 3. Tập xác định của hàm số này là D = ℝ. Lấy x1, x2 tùy ý thuộc ℝ sao cho x1 < x2, ta có: x1 < x2. Suy ra <math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><msub><mi>x</mi><mn>1</mn></msub><mn>3</mn></mroot><mo>&lt;</mo><mroot><msub><mi>x</mi><mn>2</mn></msub><mn>3</mn></mroot></math>. Khi đó ta có <math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><msub><mi>x</mi><mn>1</mn></msub><mn>3</mn></mroot><mo>+</mo><mn>3</mn><mo>&lt;</mo><mroot><msub><mi>x</mi><mn>2</mn></msub><mn>3</mn></mroot><mo>+</mo><mn>3</mn></math>. Do đó f(x1) < f(x2). Vì vậy hàm số đã cho đồng biến (tăng) trên ℝ."
"Xét tính đồng biến, nghịch biến của hàm số y = x^3 + 3",Hàm số đã cho đồng biến trên tập xác định;,Hàm số đã cho nghịch biến trên tập xác định;,"Hàm số đã cho vừa đồng biến, vừa nghịch biến trên tập xác định;",Không thể xác định được hàm số đồng biến hay nghịch biến trên tập xác định.,A,"Xét hàm số y = x^3 + 3. Tập xác định của hàm số này là D = ℝ. Lấy x1, x2 tùy ý thuộc ℝ sao cho x1 < x2, ta có: x1 < x2. Suy ra x1^3 < x2^3. Khi đó ta có y1 = x1^3 + 3 < y2 = x2^3 + 3. Do đó f(x1) < f(x2). Vì vậy hàm số đã cho đồng biến (tăng) trên ℝ."
2. Cho hàm số y = 2x² – 4x + 3 có đồ thị là parabol (P). Mệnh đề nào sau đây sai?,A. (P) không có giao điểm với trục hoành;,B. (P) có đỉnh là S(1; 1);,C. (P) có trục đối xứng là đường thẳng y = 1;,D. (P) đi qua điểm M(–1; 9);,C,"Do đó không có điểm A là giao điểm của parabol (P) và trục hoành. Vì vậy phương án A đúng. + Hàm số đã cho có dạng y = ax² + bx + c, với a = 2, b = –4, c = 3. Đỉnh S có tọa độ: ⦁ xS = –b/2a = –(–4)/2.2 = 1. ⦁ yS = 2.1² – 4.1 + 3 = 1. Suy ra (P) có đỉnh S(1; 1) và có trục đối xứng là x = 1. Do đó phương án B đúng, C sai."
13. Cho hàm số y = –x² – x – 1. Tập giá trị của hàm số đã cho là:,–∞; 3/4,–∞; 3/4,–∞; 3/4,–∞; 3/4,B,"Hàm số đã cho có dạng y = ax² + bx + c, với a = b = c = –1. Ta có ∆ = b² – 4ac = (–1)² – 4.(–1).(–1) = –3. Suy ra –Δ/4a = –3/4. Vì a = –1 < 0 nên hàm số có giá trị lớn nhất bằng –3/4 và có tập giá trị là T = –∞; –3/4."
Hàm số y = –x² + 2x + 3 có đồ thị là hình nào trong các hình sau?,y = –x² – 2x + 3,y = x² + 2x – 2,y = 2x² – 4x – 2,y = x² – 2x – 1,A,"Hàm số đã cho có dạng y = ax² + bx + c, với a = –1, b = 2, c = 3. Ta có ∆ = b² – 4ac = 4 – 4.(–1).3 = 16. Trong mặt phẳng tọa độ Oxy, đồ thị hàm số bậc hai y = f(x) = –x² + 2x + 3 là một parabol (P): ⦁ Đỉnh S có tọa độ: xS = –b/2a = –2/2.(–1) = 1 và yS = –Δ/4a = –16/4.(–1) = 4. Suy ra tọa độ đỉnh S(1; 4). ⦁ Có trục đối xứng là đường thẳng x = 1 (đường thẳng này đi qua đỉnh S và song song với trục Oy). ⦁ Có bề lõm quay xuống dưới vì a = –1 < 0. ⦁ Cắt trục tung tại điểm có tung độ bằng 3, tức là đồ thị đi qua điểm có tọa độ (0; 3). Ngoài ra, phương trình –x² + 2x + 3 = 0 có hai nghiệm phân biệt x1 = 3 và x2 = –1 nên đồ thị hàm số cắt trục hoành tại hai điểm phân biệt có tọa độ (3; 0) và (–1; 0). Ta vẽ được đồ thị sau: <img alt=""TOP 20 câu Bài tập Cuối chương III có đáp án - Toán 10 Chân trời sáng tạo (ảnh 1)"" height=""218"" src=""https://vietjack.me/storage/uploads/images/268/1-1664681419.png"" width=""292""/>"
Biết rằng hàm số y = ax² + bx + c (a ≠ 0) đạt giá trị nhỏ nhất bằng 4 tại x = 2 và có đồ thị đi qua điểm A(0; 6). Giá trị biểu thức P = abc bằng,–6,–3,6,3/2,A,"Ta có giá trị nhỏ nhất của hàm số bằng 4 tại x = 2. Tức là đỉnh S(2; 4) và a > 0. Suy ra 4 = a.2² + b.2 + c. Do đó 4a + 2b + c = 4. Ta có xS = 2. Suy ra –b = 4a. Do đó –b = 4a (2). Đồ thị hàm số đi qua điểm A(0; 6). Suy ra 6 = a.0² + b.0 + c. Do đó c = 6. Thay (2), (3) vào (1), ta được: –b + 2b + 6 = 4. Suy ra b = –2. Với b = –2, thay vào (2) ta được 4a = 2. Suy ra a > 0. Vì vậy ta có a, b = –2, c = 6. Khi đó P = abc = 1/2. –2.6 = –6. Vậy ta chọn phương án A."
Biết rằng hàm số y = ax² + bx + c (a ≠ 0) đạt giá trị nhỏ nhất bằng 4 tại x = 2 và có đồ thị đi qua điểm A(0; 6). Giá trị biểu thức P = abc bằng,-6,-3,6,−3/2,D,Vì M(m + 1; 1) ∈ (C) nên ta có 1 = (m + 1)² + 1 = m + 3. Khi đó m² + m – 1 = 0. Suy ra m = −1 ± √5/2. Vậy ta chọn phương án D.
Cho hàm số y = f(x) = x + 2 = x² + 1. Gọi (C) là đồ thị của hàm số đã cho và điểm M(m + 1; 1). Giá trị của tham số m để điểm M nằm trên đồ thị (C) là:,m = 1 + √5/2,m = -1 + √5/2,m = -1 - √5/2,Cả B và C đều đúng.,"{'answer': 'A', 'reasoning': 'Vì M(m + 1; 1) ∈ (C) nên ta có 1 = (m + 1)² + 1 = m + 3. Khi đó m² + m – 1 = 0. Suy ra m = -1 ± √5/2.'}",
Cho hàm số f(x) = x³ + 2x + 1 đồng biến trên ℝ. Đặt A = (x² + 3)/(x² + 1)³ + 2 và B = 8/(x² + 1)³ + 4. Khẳng định nào sau đây đúng?,A. –1517;,B. 1517;,C. 6068;,D. –6068.,"{'answer': 'A', 'reasoning': 'Ta có B < A hay A > B.'}",
Biết rằng hàm số y = f(x) = x³ + 2x + 1 đồng biến trên ℝ. Đặt A = (x² + 3)/(x² + 1)² + 2 và B = 8/(x² + 1)² + 4. Khẳng định nào sau đây đúng?,A > B,A = B,A < B,A ≤ B,A,"Số tiền lãi khi bán một đôi giày của cửa hàng là: x – 40 (USD). Gọi y là số tiền lãi của cửa hàng bán giày khi cửa hàng bán được x đôi giày. Ta có y = (120 – x).(x – 40) = –x² + 160x – 4 800. Khi đó y = 1600 khi x = 80, vậy cửa hàng lãi nhiều nhất khi bán đôi giày với giá 80 USD."
"Khi nuôi cá thí nghiệm trong hồ, một nhà sinh học phát hiện ra rằng: Nếu trên mỗi đơn vị diện tích của mặt hồ có n con cá thì trung bình mỗi con cá sau một vụ có cân nặng P(n) = 360 – 10n. Hỏi phải thả bao nhiêu con cá trên một đơn vị diện tích để trọng lượng cá sau một vụ thu được nhiều nhất?",3240,40,20,18,D,"Gọi T là trọng lượng tất cả số con cá trên một đơn vị diện tích của mặt hồ. Vì trên một diện tích của mặt hồ có n con cá nên ta có: T = (360 – 10n).n = –10n² + 360n. Hàm số T có dạng T = an² + bn + c, với a = –10, b = 360, c = 0. Vì a = –10 < 0 nên hàm số đạt giá trị lớn nhất bằng tại tại n = 18. Vậy phải thả 18 con cá trên một đơn vị diện tích để trọng lượng cá sau một vụ thu được nhiều nhất."
