question,A,B,C,D,answer,reasoning
Phủ định của mệnh đề P: “∀x ∈ ℝ: x² + 1 > 0” là:,∀x ∈ ℝ: x² + 1 < 0,∃x ∈ ℝ: x² + 1 ≤ 0,∃x ∈ ℝ: x² + 1 > 0,∀x ∈ ℝ: x² + 1 = 0,B,∀x ∈ ℝ: x² + 1 > 0 phủ định là ∃x ∈ ℝ: x² + 1 ≤ 0
Cho mệnh đề: “Nếu một tứ giác là hình thang cân thì tứ giác đó có hai đường chéo bằng nhau”. Phát biểu mệnh đề trên bằng cách sử dụng thuật ngữ “điều kiện cần” là:,Tứ giác là hình thang cân là điều kiện cần để tứ giác đó có hai đường chéo bằng nhau;,Tứ giác có hai đường chéo bằng nhau là điều kiện cần để tứ giác đó là hình thang cân;,Nếu tứ giác không phải là hình thang cân thì tứ giác đó có hai đường chéo bằng nhau;,"Cả A, B, C đều sai.",B,"Trong mệnh đề P Þ Q: “Nếu một tứ giác là hình thang cân thì tứ giác đó có hai đường chéo bằng nhau”, ta thấy: P: “Một tứ giác là hình thang cân”; Q: “Tứ giác có hai đường chéo bằng nhau”. Do đó ta có phát biểu sau: “Tứ giác có hai đường chéo bằng nhau là điều kiện cần để tứ giác đó là hình thang cân”."
Mệnh đề “\exists x \in \mathbb{R}: x^2 = 4” khẳng định rằng: ,Bình phương của mỗi số thực bằng 4;,Có ít nhất một số thực mà bình phương của nó bằng 4;,Chỉ có một số thực bình phương bằng 4;,Nếu x là một số thực thì x^2 = 4.,B,Mệnh đề “\exists x \in \mathbb{R}: x^2 = 4” có nghĩa là tồn tại (có ít nhất) một số thực x sao cho bình phương của nó bằng 4.
"Cho mệnh đề: “Nếu hai góc ở vị trí so le trong thì hai góc đó bằng nhau”. Trong các mệnh đề sau đây, đâu là mệnh đề đảo của mệnh đề trên?",Nếu hai góc bằng nhau thì hai góc đó ở vị trí so le trong;,Nếu hai góc không ở vị trí so le trong thì hai góc đó không bằng nhau;,Nếu hai góc không bằng nhau thì hai góc đó không ở vị trí so le trong;,Nếu hai góc ở vị trí so le trong thì hai góc đó không bằng nhau.,A,Mệnh đề P \Rightarrow Q có mệnh đề đảo là mệnh đề Q \Rightarrow P.
Cho mệnh đề chứa biến: P(x): “x + 15 ≤ x^{2}” (x là số thực). Mệnh đề nào sau đây đúng?,P(0),P(5),P(3),P(4),B,"Với x = 5, ta có P(5): “5 + 15 ≤ 5^{2}” là mệnh đề đúng."
Tính chất đặc trưng của tập hợp H = {1; 2; 3; 4; 5}.,x \in ℕ | x ≤ 5,x \in ℕ | x ≤ 5,x \in ℤ | x ≤ 5,x \in ℝ | x ≤ 5,B,Các phần tử của tập hợp ở phương án A là: {0; 1; 2; 3; 4; 5}. Ta thấy phần tử 0 ∉ H. Do đó tập hợp ở phương án A khác tập H. Các phần tử của tập hợp ở phương án B là: {1; 2; 3; 4; 5} = H. Do đó phương án B đúng.
Cho tập hợp P = {1; 3} và tập hợp Q = {3; x}. Giá trị của x để P = Q là:,x = 1;,x = 2;,x = 3;,x = 5;,A,"Ta thấy tập hợp P và Q đều có phần tử 3. Tập P còn có phần tử 1. Do đó để P = Q thì Q cần có thêm phần tử 1. Nghĩa là, x = 1."
Viết tập hợp D gồm các chữ cái có trong từ “TOKYO”.,D = {T; O; K; Y; O};,D = {K; T; Y; O};,D = {T; O; Y};,D = {K; Y; T};,B,Các chữ cái trong từ “TOKYO” là: T; O; K; Y; O. Do mỗi phần tử chỉ được liệt kê một lần nên ta có: T; O; K; Y. Vậy tập hợp D ={T; O; K; Y}.
Cho tập hợp A = {x; y; z} và B = {x; y; z; t; u}. Tập hợp X nào trong các tập X dưới đây thỏa mãn A \subset X \subset B?,X = {x; y; z; t; u; v},X = {x; y; z; t},X = {y; t; u},X = {t; u},B,Tập A là tập con của tập B khi mọi phần tử của tập hợp A đều thuộc tập hợp B. Ta thấy tập X ở phương án B có 4 phần tử là x; y; z; t đều thuộc tập B. Do đó tập X ở phương án B là tập con của tập hợp B.
Khẳng định nào sau đây sai?,\mathbb{Z} \cup \mathbb{Q} = \mathbb{Q},\mathbb{N} \cup \mathbb{N}^* = \mathbb{N}^*,\mathbb{Q} \cap \mathbb{R} = \mathbb{Q},\mathbb{N}^* \cap \mathbb{R} = \mathbb{N}^*,B,\mathbb{N} \subseteq \mathbb{N}^*
Cho tập hợp A = (–∞;–2] và tập B = (–1; +∞). Khi đó A ∪ B là:,(–2; +∞);,(–2; –1];,ℝ;,∅.,C,"Từ sơ đồ, ta thấy A ∪ B = ℝ."
"Cho tập hợp C = [–5; 3), D = (1; +∞). Khi đó C ∩ D là tập nào sau đây?",(1; 3);,(1; 3];,[–5; +∞);,[–5; 1].,A,"Từ sơ đồ, ta thấy C ∩ D = (1; 3)."
Cho hai tập hợp G = (1; 5]; H = (2; 7]. Tập hợp G \ H là:,A. (1; 2];,B. (2; 5);,C. (–1; 7];,D. (–1; 2].,A,"Để xác định tập hợp G \ H, ta vẽ sơ đồ sau đây: ... Từ sơ đồ, ta thấy G \ H = (1; 2] (vì tập H không lấy số 2 nên phần bù sẽ lấy số 2). Vậy ta chọn phương án A."
"Cho A, B, C là ba tập hợp được minh họa bằng biểu đồ Ven như hình vẽ. Phần gạch sọc trong hình vẽ là tập hợp nào sau đây?",(A ∪ B) \ C;,(A ∩ B) \ C;,(A \ C) ∪ (A \ B);,(A ∩ B) ∪ C;,B,"Quan sát hình vẽ, ta thấy mỗi phần tử x thuộc phần gạch sọc đều thỏa mãn cả 3 yêu cầu sau: ⦁ x ∈ A; ⦁ x ∈ B; ⦁ x ∉ C. Vì x ∈ A và x ∈ B nên ta có x ∈ (A ∩ B). Vì x ∈ (A ∩ B) và x ∉ C nên ta có x ∈ (A ∩ B) \ C. Vậy ta chọn phương án B."
Cho tập A có n + 1 phần tử (n ∈ ℕ*). Số tập con của A có hai phần tử là:,n(n + 1),\frac{(n + 1).n}{2},n + 1,,B,Lấy một phần tử của A ghép với n phần tử còn lại ta được n tập con có hai phần tử. Vậy có (n + 1).n tập. Nhưng mỗi tập con đó được tính hai lần do được lặp lại nên số tập con của A có hai phần tử là \frac{(n + 1).n}{2}.
"Cho ba tập hợp A = [–2; 2], B = [1; 5], C = [0; 1]. Khi đó tập (A \ B) ∩ C là:",0; 1,0; 1),–2; 1,[–2; 5],B,"Để xác định tập hợp A \ B, ta vẽ sơ đồ sau đây: ... Từ sơ đồ, ta thấy (A \ B) ∩ C = [0; 1) (giao tức là lấy phần chung, tuy tập C có số 1 nhưng vì tập A \ B không lấy số 1 nên ta không lấy số 1)."
"Cho hai tập khác rỗng A = (m – 1; 4], B = (–2; 2m + 2), m ∈ ℝ. Tìm m để A ∩ B ≠ ∅.",-1 < m < 5,1 < m < 5,-2 < m < 5,m > –3,C,"Vì tập A khác rỗng nên ta có m – 1 < 4. Từ (1) và (2), ta suy ra tập hợp A và B đều khác rỗng khi và chỉ khi –2 < m < 5 (*). Để A ∩ B ≠ ∅ thì m – 1 < 2m + 2. Nghĩa là, m > –3 (**). Giao (*) và (**) lại với nhau, ta thu được kết quả –2 < m < 5."
