question,A,B,C,D,answer,reasoning
"Hội đồng quản trị của công ty X gồm 10 người. Hỏi có bao nhiêu cách bầu ra ba người vào ba vị trí chủ tịch, phó chủ tịch và thư kí, biết khả năng mỗi người là như nhau.",1 000,720,30,27,B,"Việc bầu ra ba người vào ba vị trí chủ tịch, phó chủ tịch và thư kí gồm ba công đoạn: Công đoạn 1: Bầu một người làm chủ tịch, có 10 cách chọn. Công đoạn 2: Ứng với mỗi cách bầu một người làm chủ tịch, có 9 cách bầu một người làm phó chủ tịch. Công đoạn 3: Ứng với mỗi cách bầu một người làm chủ tịch và bầu một người làm phó chủ tịch, có 8 cách bầu một người làm thư kí. Theo quy tắc nhân, ta có tất cả 10.9.8 = 720 cách bầu ra ba người vào ba vị trí chủ tịch, phó chủ tịch và thư kí."
"Từ các chữ số 0; 1; 2; 3; 4; 5, có thể lập được bao nhiêu số lẻ gồm 4 chữ số khác nhau?",154,145,144,155,C,"Gọi $overline{abcd}$ là số cần tìm. Vì số được lập là số lẻ nên vị trí d có 3 cách chọn một trong các số 1; 3; 5. Ứng với mỗi cách chọn đó, có 4 cách chọn số ở vị trí a từ 4 chữ số khác 0 và khác số ở vị trí d đã cho. Ứng với mỗi cách chọn đó, có 4 cách chọn số ở vị trí b từ 4 chữ số còn lại. Ứng với mỗi cách chọn đó, có 3 cách chọn số ở vị trí c từ 3 chữ số còn lại. Theo quy tắc nhân, ta có tất cả 3.4.4.3 = 144 cách lập một số thỏa mãn yêu cầu bài toán."
Số con đường từ A đến G là:,101,2 538,38,1 462,B,"Ta thấy để đi từ A đến G, ta bắt buộc phải đi qua D. Bước 1: Đi từ A đến D. Phương án 1: Đi từ A, qua B, đến D thì có 2.3 = 6 con đường. Phương án 2: Đi từ A, qua C, đến D thì có 8.6 = 48 con đường. Theo quy tắc cộng, ta có số cách đi từ A đến D là 6 + 48 = 54 con đường. Bước 2: Đi từ D đến G. Phương án 1: Đi từ D, qua E, đến G thì có 5.7 = 35 con đường. Phương án 2: Đi từ D, qua F, đến G thì có 3.4 = 12 con đường. Theo quy tắc cộng, ta có số cách đi từ D đến G là 35 + 12 = 47 con đường. Vậy theo quy tắc nhân, ta có số cách đi từ A đến G là 54.47 = 2 538 con đường."
"Có ba môn thi Toán, Vật lí, Hóa học cần xếp vào 3 buổi thi, mỗi buổi một môn sao cho môn Toán không thi buổi đầu thì số cách xếp là:",6,2,4,5,C,"Việc xếp mỗi buổi một môn sao cho môn Toán không thi buổi đầu có hai phương án thực hiện: Phương án 1: Môn Vật lí thi buổi đầu, thì số cách xếp hai môn còn lại vào 2 buổi còn lại là 2! cách xếp. Phương án 2: Môn Hóa học thi buổi đầu, thì số cách xếp hai môn còn lại vào 2 buổi còn lại là 2! cách xếp. Theo quy tắc cộng, ta có tất cả 2! + 2! = 2 + 2 = 4 cách xếp."
"Có bao nhiêu cách chọn và sắp xếp thứ tự 5 cầu thủ để đá luân lưu, biết rằng cả 11 cầu thủ đều có khả năng như nhau?",55 440,20 680,32 456,41 380,A,Mỗi cách chọn và sắp xếp thứ tự 5 cầu thủ trong số 11 cầu thủ là một chỉnh hợp chập 5 của 11 phần tử. Do đó số cách chọn và sắp xếp thứ tự 5 cầu thủ là: $A_{11}^{5} = 55 440$ cách chọn.
Trong một bình đựng 4 viên bi đỏ và 3 viên bi xanh. Lấy ngẫu nhiên 2 viên bi. Có bao nhiêu cách lấy được 2 viên bi cùng màu?,18,9,22,4,D,"Việc lấy được 2 viên bi cùng màu có 2 phương án thực hiện: Phương án 1: Lấy được 2 viên bi màu đỏ, có $\binom{4}{2}$ cách chọn. Phương án 2: Lấy được 2 viên bi màu xanh, có $\binom{3}{2}$ cách chọn. Do đó theo quy tắc cộng, ta có tất cả $\binom{4}{2} + \binom{3}{2} = 9$ cách chọn."
"Trong một trường có 4 học sinh giỏi lớp 12, 3 học sinh giỏi lớp 11 và 5 học sinh giỏi lớp 10. Cần chọn 5 học sinh giỏi để tham gia một cuộc thi với các trường khác sao cho khối 12 có 3 em và mỗi khối 10, 11 có đúng 1 em. Vậy số tất cả các cách chọn là:",60,180,330,90,A,"Công việc chọn học sinh tham gia cuộc thi có 3 công đoạn: Công đoạn 1: Chọn 3 học sinh giỏi lớp 12. Mỗi cách chọn 3 học sinh giỏi trong số 4 học sinh giỏi lớp 12 là một tổ hợp chập 3 của 4 phần tử. Do đó số cách chọn 3 học sinh lớp 12 là: $C_{4}^{3}$ (cách). Công đoạn 2: Chọn 1 học sinh giỏi lớp 11. Mỗi cách chọn 1 học sinh giỏi trong số 3 học sinh giỏi lớp 11 là một tổ hợp chập 1 của 3 phần tử. Do đó số cách chọn 1 học sinh lớp 11 là: $C_{3}^{1}$ (cách). Công đoạn 3: Chọn 1 học sinh giỏi lớp 10. Mỗi cách chọn 1 học sinh giỏi trong số 5 học sinh giỏi lớp 10 là một tổ hợp chập 1 của 5 phần tử. Do đó số cách chọn 1 học sinh lớp 10 là: $C_{5}^{1}$ (cách). Vậy theo quy tắc nhân, ta có tất cả $C_{4}^{3} cdot C_{3}^{1} cdot C_{5}^{1} = 60$ cách chọn 5 học sinh giỏi của trường đó."
Số hạng chứa x^3y trong khai triển (xy + \frac{1}{y})^5 là:,3x^3y,5x^3y,10x^3y,4x^3y,C,"Theo cách 1: Ta có: (xy + \frac{1}{y})^5 = \sum_{k=0}^{5} \binom{5}{k} (xy)^{5-k} \left(\frac{1}{y}\right)^k = \sum_{k=0}^{5} \binom{5}{k} x^{5-k} y^{5-2k}. Số hạng chứa x^3y là khi 5 - k = 3, tức k = 2. Do đó số hạng chứa x^3y là \binom{5}{2} x^3 y^1 = 10x^3y. Theo cách 2: Ta có: (xy + \frac{1}{y})^5 = \sum_{k=0}^{5} \binom{5}{k} (xy)^{5-k} \left(\frac{1}{y}\right)^k = \sum_{k=0}^{5} \binom{5}{k} x^{5-k} y^{5-2k}. Số hạng chứa x^3y là khi 5 - k = 3, tức k = 2. Do đó số hạng chứa x^3y là \binom{5}{2} x^3 y^1 = 10x^3y."
Số hạng không chứa x trong khai triển $P(x) = (x^3 - \frac{1}{x^2})^5$ (x ≠ 0) (theo chiều số mũ của x giảm dần) là số hạng thứ:,3,6,4,5,C,"Theo nhị thức Newton, ta có: $(x^3 - \frac{1}{x^2})^5 = x^{15} - 5x^{12} \frac{1}{x^2} + 10x^9 \frac{1}{x^4} - 10x^6 \frac{1}{x^6} + 5x^3 \frac{1}{x^8} - \frac{1}{x^{10}}$"
"Cho x là số thực dương. Khai triển nhị thức $left(x^2+rac{1}{x}ight)^4$, ta có hệ số của số hạng chứa $x^m$ bằng 6. Giá trị của m là:",6,8,2,2 hoặc 6,C,"Theo công thức nhị thức Newton, ta có: $left(x^2+rac{1}{x}ight)^4=x^8+4x^5+6x^2+rac{4}{x}+rac{1}{x^4}$. Ta thấy số hạng có hệ số bằng 6 là $6x^2$. Suy ra m = 2."
Giá trị của biểu thức $(3+sqrt{2})^4 + (3-sqrt{2})^4$ bằng:,193,-386,772,386,D,"Áp dụng công thức nhị thức Newton, ta có: $(3+sqrt{2})^4 = 3^4 + 4.3^3.sqrt{2} + 6.3^2.2 + 4.3.2sqrt{2} + 2^4$ và $(3-sqrt{2})^4 = 3^4 - 4.3^3.sqrt{2} + 6.3^2.2 - 4.3.2sqrt{2} + 2^4$. Suy ra $(3+sqrt{2})^4 + (3-sqrt{2})^4 = 2.(81 + 6.9.2 + 4) = 386$."
"Biết rằng trong khai triển $left(rac{x}{2}+rac{a}{x}ight)^{5}$ (với x ≠ 0), hệ số của số hạng chứa $rac{1}{x^{3}}$ là 640. Khi đó giá trị của a bằng:",a = 4,a = –4,a ∈ {–4; 4},a ∈ ∅,C,"Ta có $left(rac{x}{2}+rac{a}{x}ight)^{5}$ (với x ≠ 0). Theo đề, ta có hệ số của số hạng chứa $rac{1}{x^{3}}$ là 640. Tức là, $rac{5a^{4}}{2}=640$. ⇔ $5a^{4}=1 280$. ⇔ $a^{4}=256$. ⇔ $a=4$ hoặc $a=–4$. Vậy ta chọn phương án C."
Giá trị n nguyên dương thỏa mãn $A_{n2} - C_{n+1}^{n-1} = 5$ là:,n = –2,n = 5,n ∈ {–2; 5},n ∈ ∅,D,Ta có $A_{n2} - C_{n+1}^{n-1} = 5$ $⇔ n^2 - 3n - 10 = 0$ $⇔ n = 5$ hoặc $n = –2$. Vì n nguyên dương nên ta nhận $n = 5$.
Số 253 125 000 có bao nhiêu ước số tự nhiên?,160,240,180,120,C,"Ta có 253 125 000 = 2^{3}.3^{4}.5^{8}. Do đó mỗi ước số tự nhiên của số 253 125 000 đều có dạng 2^{m}.3^{n}.5^{p}, trong đó 0 ≤ m ≤ 3, 0 ≤ n ≤ 4, 0 ≤ p ≤ 8 và m, n, p ∈ ℕ. Theo quy tắc nhân, ta có tất cả 4.5.9 = 180 ước số tự nhiên."
Cho tập hợp A = {0; 1; 2; 3; 4; 5; 6; 7}. Hỏi từ tập A có thể lập được bao nhiêu số tự nhiên gồm 5 chữ số đôi một khác nhau sao cho một trong 3 chữ số đầu tiên có chữ số 1?,2 802,65,2 520,2 280,D,"Gọi $\overline{abcde}$ là số cần tìm. Trường hợp 1: a = 1. Khi đó b có 7 cách chọn, c có 6 cách chọn, d có 5 cách chọn và e có 4 cách chọn. Do đó theo quy tắc nhân, ta có 7.6.5.4 = 840 số được lập. Trường hợp 2: b = 1 hoặc c = 1 thì có 2 cách. Khi đó a có 6 cách chọn (vì a ≠ 0 và a ≠ 1). Ba vị trí còn lại lần lượt có 6, 5, 4 cách chọn. Do đó theo quy tắc nhân, ta có 2.6.6.5.4 = 1 440 số được lập. Vậy theo quy tắc cộng, ta có tất cả 840 + 1 440 = 2 280 số được lập."
"Từ các chữ số 0; 1; 2; 3; 4; 5, có thể lập được bao nhiêu số tự nhiên có 3 chữ số khác nhau và chia hết cho 9?",16,18,20,14,A,"Gọi $overline{abc}$ là số cần tìm, với a, b, c ∈ {0; 1; 2; 3; 4; 5}. Vì $overline{abc} equiv 0 pmod{9}$ nên tổng các chữ số a + b + c ⋮ 9. Khi đó a; b; c là bộ số (0; 4; 5), (2; 3; 4) hoặc (1; 3; 5)."
Một hội đồng gồm 5 nam và 4 nữ được bầu vào một ban quản trị gồm 4 người. Biết rằng ban quản trị có ít nhất một nam và một nữ. Số cách bầu chọn là:,240,260,126,120,D,"Việc bầu chọn một ban quản trị gồm 4 người có 3 phương án thực hiện: Phương án 1: Chọn 1 nam và 3 nữ. Phương án 2: Chọn 2 nam và 2 nữ. Phương án 3: Chọn 3 nam và 1 nữ. Theo quy tắc cộng, ta có tất cả $C_{5}^{1}.C_{4}^{3}+C_{5}^{2}.C_{4}^{2}+C_{5}^{3}.C_{4}^{1}=120$ cách chọn."
Tổng $S = C_5^0 + 3C_5^1 + 3^2C_5^2 + 3^3C_5^3 + 3^4C_5^4 + 3^5C_5^5$ bằng:,3^5,2^5,3.2^5,4^5,D,"Theo công thức nhị thức Newton, ta có: $S = C_5^0 + 3C_5^1 + 3^2C_5^2 + 3^3C_5^3 + 3^4C_5^4 + 3^5C_5^5 = 4^5$."
Hệ số của số hạng $x^{10}$ trong khai triển $(1 + x + x^2 + x^3)^5$ là:,5,50,101,105,C,"Ta có $(1 + x + x^2 + x^3)^5 = [1 + x + x^2(1 + x)]^5 = [(1 + x)(1 + x^2)]^5 = (1 + x)^5.(1 + x^2)^5.$ Theo công thức nhị thức Newton, ta có: $(1 + x)^5 = 1 + 5x + 10x^2 + 10x^3 + 5x^4 + x^5$ và $(1 + x^2)^5 = 1 + 5x^2 + 10x^4 + 10x^6 + 5x^8 + x^{10}.$ Suy ra $(1 + x + x^2 + x^3)^5 = A.B$ Khi đó ta có số hạng chứa $x^{10}$ trong khai triển $(1 + x + x^2 + x^3)^5$ là: $x^i.x^j = x^{10}$ hay $x^{i + j} = x^{10}$ với $x^i$ là lũy thừa của số hạng trong A, $x^j$ là lũy thừa của số hạng trong B (i ∈ {0; 1; 2; 3; 4; 5} và j ∈ {0; 2; 4; 6; 8; 10}). Từ bảng ta có số hạng chứa $x^{10}$ trong khai triển là: $1.x^{10} + 10x^2.5x^8 + 5x^4.10x^6 = x^{10} + 50x^{10} + 50x^{10} = 101x^{10}.$ Vậy hệ số của số hạng chứa $x^{10}$ trong khai triển $(1 + x + x^2 + x^3)^5$ là 101."
