question,A,B,C,D,answer,reasoning
"Cho tam giác ABC có BC = a, AC = b và AB = c. Biết C = 120°. Khẳng định nào sau đây là đúng?",c^2 = a^2 + b^2 – ab;,c^2 = a^2 + b^2 + ab;,c^2 = a^2 + b^2 – 3ab;,c^2 = a^2 + b^2 + 3ab;,B,Theo định lí côsin ta có: c^2 = a^2 + b^2 – 2ab.cosC. Mà C = 120° nên cosC = -1/2. Do đó c^2 = a^2 + b^2 – 2ab.(-1/2) = a^2 + b^2 + ab. Vậy ta chọn phương án B.
"Cho hai góc α và β (với 0° ≤ α, β ≤ 180°) thỏa mãn α + β = 180°. Giá trị của biểu thức P = sinα.cosα + sinβ.cosβ bằng:",0,1,-1,2,A,sinα.cosα + sinβ.cosβ = sinβ.(–cosβ) + sinβ.cosβ = 0.
Giá trị của biểu thức M = sin50° + cos70° + cos110° – sin130° bằng:,–1;,1;,0;,1;,B,Ta có H = cot5°.cot10°.cot15°…cot80°.cot85° = cot5°.cot10°.cot15°…tan10°.tan5° = 1.1…1.cot(45°) = cot45° = 1. Vậy ta chọn phương án B.
Giá trị của biểu thức H = cot5°.cot10°.cot15°…cot80°.cot85° bằng:,–1;,1;,0;,2.,A,"Áp dụng định lí côsin cho ∆ABC, ta có: BC^2 = AB^2 + AC^2 – 2.AB.AC.cosA = 27. Suy ra BC = 3√3. Áp dụng định lí sin, ta có BC/sinA = 2R. Suy ra R = BC/(2*sinA) = 3/(2*sin60°) = 3."
"∆ABC có AB = 3, AC = 6 và A^ = 60°. Độ dài bán kính R của đường tròn ngoại tiếp ∆ABC bằng:",3;,3√3;,√3;,6;,A,"Áp dụng định lí côsin cho ∆ABC, ta có: BC^2 = AB^2 + AC^2 – 2AB.AC.cosA = 27. Suy ra BC = 3√3. Áp dụng định lí sin, ta có: R = BC / (2.sinA) = 3√3 / (2.sin60°) = 3."
"∆ABC có AB = 5, AC = 10, A^ = 60°. Độ dài đường cao ha của ∆ABC bằng:",3√5,√5,5,3/2,C,"Áp dụng định lí côsin cho ∆ABC, ta có: BC^2 = AB^2 + AC^2 – 2AB.AC.cosA = 75. Suy ra BC = √75 = 5√3. Diện tích ∆ABC là: S = 1/2.AB.AC.sinA = 1/2.5.10.sin60° = 25√3/2 (đơn vị diện tích). Ta có S = 1/2.BC.ha. Suy ra ha = 2.S/BC = 2.25√3/2.5√3 = 5."
Cho hình thoi ABCD có cạnh bằng 1 cm và có đường chéo AC = √3 cm. Số đo B^ của hình thoi ABCD bằng:,30°,45°,60°,120°,C,"Vì ABCD là hình thoi nên đường chéo AC là tia phân giác của B^, suy ra B^ = 2.30° = 60°."
Tam giác đều nội tiếp đường tròn bán kính R = 4 cm có diện tích bằng:,13 cm^2,13\sqrt{2} cm^2,12\sqrt{3} cm^2,15 cm^2,C,"Áp dụng định lí sin cho ∆ABC, ta có: BC = 2R.sinA = 2.4.sin60° = 4\sqrt{3}. Vì ∆ABC đều nên ta có AB = AC = BC = 4\sqrt{3}. Diện tích ∆ABC là: S = \frac{1}{2}AB.BC = \frac{1}{2}.4\sqrt{3}.4\sqrt{3} = 12\sqrt{3} cm^2."
"Cho ∆ABC biết b = 32, c = 45, A^ = 87°. Khẳng định nào sau đây đúng?","a ≈ 53,8, B^ ≈ 37°, C^ ≈ 56°","a ≈ 2898,3, B^ ≈ 37°, C^ ≈ 56°","a ≈ 53,8, B^ ≈ 56°, C^ ≈ 37°","a ≈ 55,2, B^ ≈ 37°, C^ ≈ 56°",A,"Áp dụng định lí côsin cho ∆ABC, ta có: a^2 = b^2 + c^2 – 2bc.cosA = 32^2 + 45^2 – 2.32.45.cos87° ≈ 2898,3. Suy ra a ≈ 53,8, B^ ≈ 37°, C^ ≈ 56°. Do đó ta chọn phương án A."
"Cho ∆ABC, biết A = 60°, hc = 2√3, R = 6. Khẳng định nào sau đây đúng?","a = 6√3, b = 2 + 4√6, c = 4;","a = 6√3, b = 4, c = 2 + 4√6;","a = 6√3, b = 4, c = √6;","a = 6√3, b = 2 + √6, c = 4;",D,Vì tanα = –3 nên cosα ≠ 0. Ta có H = (6 sinα - 7 cosα) / (6 cosα + 7 sinα) = (6 tanα - 7) / (6 + 7 tanα) = (6(-3) - 7) / (6 + 7(-3)) = 5/3.
Cho biết tanα = –3 (0° ≤ α ≤ 180°). Giá trị của H bằng:,4/3,-5/3,-4/3,5/3,D,"Vì tanα = –3 nên sinα/cosα = -3. Do đó cosα ≠ 0. Ta có H = (6sinα - 7cosα) / (6cosα + 7sinα). Thay sinα/cosα = -3 vào H, ta được H = (6(-3) - 7) / (6 + 7(-3)) = -5/3."
"Cho biết sinα – cosα = (0° ≤ α, β ≤ 180°). Giá trị của E bằng:",√15/5,√17/5,√19/5,√21/5,D,Ta có sinα – cosα = √15/5. ⇒ sin^2α – 2sinαcosα + cos^2α = (√15/5)^2. ⇒ 1 – 2sinαcosα = 15/25. ⇒ 2sinαcosα = 10/25. ⇒ sinαcosα = 1/5. Ta có E = √(sin^2α + cos^2α) = √(1 – 2sinαcosα) = √(1 – 2(1/5)) = √(1 – 2/5) = √(5/5 – 2/5) = √(3/5) = √21/5.
"Cho biết 2cosα + √2sinα = 2, với 0° < α < 90°. Giá trị của cotα bằng:",√5/4,√3/4,√2/2,√2/4,D,"Ta có 2cosα + √2sinα = 2. Do đó 2sin^2α = (2 - 2cosα)^2. ⇔ 2(1 - cos^2α) = 4 - 8cosα + 4cos^2α. ⇔ 6cos^2α - 8cosα + 2 = 0 (1) Đặt t = cosα. Vì 0 < α < 90° nên 0 < t < 1. Phương trình (1) tương đương với: 6t^2 - 8t + 2 = 0 ⇔ t = 1/3 hoặc t = 2/3. Vì 0 < t < 1 nên ta nhận t = 2/3. Với t = 2/3, ta có cosα = 1/3. Suy ra cos^2α = 1/9. Áp dụng Bài tập 5a, trang 65, Sách giáo khoa Toán 10, Tập một, ta có: sin^2α + cos^2α = 1 ⇔ sin^2α = 1 - cos^2α = 1 - 1/9 = 8/9. ⇔ sinα = ±√(8/9) = ±2√2/3. Vì 0 < α < 90° nên α là góc nhọn. Do đó sinα > 0. Vì vậy ta nhận sinα = 2√2/3. Ta có cotα = cosα/sinα = 1/3 : 2√2/3 = 1/3 * 3/2√2 = √2/4."
Cho ∆ABC và các khẳng định sau: (I) b^2 – c^2 = a(b.cosC – c.cosB); (II) (b + c)sinA = a(sinB + sinC); (III) h_a = 2R.sinB.sinC; (IV) S = R.r.(sinA + sinB + sin C); Số khẳng định đúng là:,1,2,3,4,D,"Do đó khẳng định (I) đúng. Vì vậy khẳng định (II) đúng. Vì vậy khẳng định (III) đúng. Vì vậy khẳng định (IV) đúng. Vậy có 4 khẳng định đúng, ta chọn phương án D."
Cho ∆ABC có a.sinA + b.sinB + c.sinC = h_a + h_b + h_c. Khi đó ∆ABC là:,,Tam giác đều;,Tam giác cân;,Tam giác vuông;,B,a = b = c.
Vậy ∆ABC là tam giác đều.,"17,5 m",17 m,"16,5 m",16 m,A,"Xét ∆ABH vuông tại H có tan A = 1/5. Suy ra A ≈ 11°19'. Ta có CB ⊥ BH (cái cây vuông góc với mặt đất) nên suy ra CBA + A ≈ 90°. Vì vậy CBA ≈ 90° - A ≈ 78°41'. ∆ABC có C + B + A = 180° (định lí tổng ba góc trong một tam giác) nên suy ra A = 180° - (C + B) ≈ 180° - (45° + 78°41') ≈ 56°19'. Áp dụng định lí sin cho ∆ABC, ta được B/C = sin45°/sin56°19'. Do đó B ≈ 17,33 (m). Giá trị này gần với 17,5 (m)."
"Giả sử CD = h là chiều cao của tháp, trong đó C là chân tháp. Một người đứng tại vị trí A (CÁC ĐIỂM A, B, C THẲNG HÀNG) cách C một khoảng 24 m và không sang được bờ bên kia để đo chiều cao h của tháp nên chọn thêm một điểm B cách A một khoảng 24 m và để tính toán được chiều cao của tháp. Chiều cao h của tháp gần nhất với:",18 m,"18,5 m",60 m,"60,5 m",D,"h = BD.sin(CBD) ≈ 82,6.sin(48°) = 61,4 (m)"
Chiều cao của tòa nhà gần nhất với giá trị nào sau đây?,12 m,19 m,24 m,29 m,B,"Áp dụng định lí sin cho ∆ABC, ta được AC = (5.sin(40°))/(sin(10°)) ≈ 18,5 (m). ∆ACD vuông tại D: sin(CAD) = (CD)/(AC) ≈ (18,5.sin(40°))/(18,5) ≈ 11,9 (m). Chiều cao của tòa nhà là: CH = CD + DH = 11,9 + 7 = 18,9 (m). Giá trị này gần với 19 m nhất."
