question,A,B,C,D,answer,reasoning
Đẳng thức nào sau đây đúng:,cot a + cot b = \frac{sin(b-a)}{sin a . sin b} .,cos^2 a = \frac{1}{2} \frac{1+cos 2a}{2}.,sin(a+b) = \frac{1}{2} sin 2(a+b).,tan(a+b) = \frac{sin(a+b)}{cos a . cos b}.,B,Ta có cos^2 a = 2cos^2 a - 1 ⇔ cos^2 a = \frac{1}{2} \frac{1+cos 2a}{2}.
Rút gọn M = \sin(x - y)\cos y + \cos(x - y)\sin y.,M = \cos x.,M = \sin x.,M = \sin x\cos 2y.,M = \cos x\cos 2y.,A,"\sin(a + b) = \sin a\cos b + \sin b\cos a, ta được M = \sin(x - y)\cos y + \cos(x - y)\sin y = \sin x."
Giá trị của biểu thức \cos\left(\frac{π}{30}\right)\cos\left(\frac{π}{5}\right)+\sin\left(\frac{π}{30}\right)\sin\left(\frac{π}{5}\right) là,\frac{\sqrt{3}}{2}.,-\frac{\sqrt{3}}{2}.,\frac{\sqrt{3}}{4}.,\frac{1}{2}.,A,\cos\left(\frac{π}{30}\right)\cos\left(\frac{π}{5}\right)+\sin\left(\frac{π}{30}\right)\sin\left(\frac{π}{5}\right)=\cos\left(\frac{π}{30}-\frac{π}{5}\right)=\cos\left(-\frac{π}{6}\right)=\frac{\sqrt{3}}{2}.
Rút gọn biểu thức M = cos^{4} 15^{°} - sin^{4} 15^{°} .,M = 1.,M = \frac{\sqrt{3}}{2} .,M = \frac{1}{4} .,M = 0.,B,Ta có M = cos^{4} 15^{°} - sin^{4} 15^{°} = (cos^{2} 15^{°})^{2} - (sin^{2} 15^{°})^{2} = (cos^{2} 15^{°} - sin^{2} 15^{°})(cos^{2} 15^{°} + sin^{2} 15^{°}) = cos 2.15^{°} = cos 30^{°} = \frac{\sqrt{3}}{2} .
Giá trị của biểu thức P = \frac{\sin\left(\frac{5\pi}{18}\right)\cos\left(\frac{\pi}{9}\right) - \sin\left(\frac{\pi}{9}\right)\cos\left(\frac{5\pi}{18}\right)}{\cos\left(\frac{\pi}{4}\right)\cos\left(\frac{\pi}{12}\right) - \sin\left(\frac{\pi}{4}\right)\sin\left(\frac{\pi}{12}\right)} là,1,\frac{1}{2},\frac{\sqrt{2}}{2},\frac{\sqrt{3}}{2},A,Áp dụng công thức \{\sin(a)\cos(b) - \cos(a)\sin(b) = \sin(a-b)\} và \{\cos(a)\cos(b) - \sin(a)\sin(b) = \cos(a+b)\}. Khi đó \sin\left(\frac{5\pi}{18}\right)\cos\left(\frac{\pi}{9}\right) - \sin\left(\frac{\pi}{9}\right)\cos\left(\frac{5\pi}{18}\right) = \sin\left(\frac{\pi}{6}\right) = \frac{1}{2}. Và \cos\left(\frac{\pi}{4}\right)\cos\left(\frac{\pi}{12}\right) - \sin\left(\frac{\pi}{4}\right)\sin\left(\frac{\pi}{12}\right) = \cos\left(\frac{\pi}{3}\right) = \frac{1}{2}. Vậy P = \frac{1}{2} : \frac{1}{2} = 1.
Giá trị nào sau đây của x thỏa mãn sin²x.sin³x = cos²x.cos³x?,18°.,30°.,36°.,45°.,A,"Áp dụng công thức cos(a).cos(b)−sin(a).sin(b)=cos(a+b), ta được sin²x.sin³x = cos²x.cos³x ⇔ cos²x.cos³x−sin²x.sin³x = 0 ⇔ cos(5x) = 0 ⇔ 5x = π/2 + kπ ⇔ x = π/10 + kπ/5."
"Trong ΔABC, nếu \frac{sin B}{sin C} = 2cos A thì ΔABC là tam giác có tính chất nào sau đây?",Cân tại B.,Cân tại A.,Cân tại C.,Vuông tại B.,A,"Ta có \frac{sin B}{sin C} = 2cos A ⇒ sin B = 2sin C cos A = sin(C + A) + sin(C - A). Mặt khác A + B + C = π ⇒ B = π - (A + C) ⇒ sin B = sin(A + C). Do đó, ta được sin(C - A) = 0 ⇒ A = C."
Cho góc \alpha thỏa mãn sin^2\alpha = -\frac{4}{5} và \frac{3\pi}{4} < \alpha < \pi. Tính P = sin\alpha - cos\alpha.,P = \frac{3}{\sqrt{5}}.,P = -\frac{3}{\sqrt{5}}.,P = \frac{\sqrt{5}}{3}.,P = -\frac{\sqrt{5}}{3}.,A,\frac{3\pi}{4} < \alpha < \pi suy ra sin\alpha > 0 và cos\alpha < 0 nên sin\alpha - cos\alpha > 0. Ta có (sin\alpha - cos\alpha)^2 = 1 - sin^2\alpha = 1 + \frac{4}{5} = \frac{9}{5}. Suy ra sin\alpha - cos\alpha = \frac{3}{\sqrt{5}}.
Biểu thức P = \sin\left(x+\frac{π}{3}\right) - \sin x có tất cả bao nhiêu giá trị nguyên?,1,2,3,4,C,"Áp dụng công thức \sin a - \sin b = 2\cos\frac{a+b}{2}\sin\frac{a-b}{2}, ta có ... (rest of the reasoning)"
Khi \alpha = \frac{\pi}{6} thì biểu thức A = \frac{sin^{2} \alpha + 4sin^{4} \alpha - 4sin^{2} \alpha . cos^{2} \alpha}{4 - sin^{2} 2 \alpha - 4sin^{2} \alpha} có giá trị bằng:,A. \frac{1}{3},B. \frac{1}{6},C. \frac{1}{9},D. \frac{1}{12},C,Ta có A = \frac{sin^{2} \alpha + 4sin^{4} \alpha - 4sin^{2} \alpha . cos^{2} \alpha}{4 - sin^{2} 2 \alpha - 4sin^{2} \alpha} = \frac{4sin^{4} \alpha}{4(1 - sin^{2} \alpha) - 4sin^{2} \alpha . cos^{2} \alpha} = \frac{sin^{4} \alpha}{(1 - sin^{2} \alpha) . cos^{2} \alpha} = tan^{4} \alpha. Do đó giá trị của biểu thức A tại \alpha = \frac{\pi}{6} là tan^{4} \frac{\pi}{6} = \frac{1}{9}.
"Trong các hàm số sau, hàm số nào là hàm số chẵn?",y = \sin x .,y = \cos x .,y = \tan x .,y = \cot x .,B,Nhắc lại kiến thức cơ bản: - Hàm số y = \sin x là hàm số lẻ. - Hàm số y = \cos x là hàm số chẵn. - Hàm số y = \tan x là hàm số lẻ. - Hàm số y = \cot x là hàm số lẻ. Vậy B là đáp án đúng.
Tìm chu kì của hàm số y = sin\(5x - \frac{π}{4}\).,\frac{2π}{5}.,T = \frac{5π}{2}.,T = \frac{π}{2}.,T = \frac{π}{8}.,A,Hàm số y = sin(ax + b) tuần hoàn với chu kì T = \frac{2π}{|a|}. Áp dụng: Hàm số y = sin(5x - \frac{π}{4}) tuần hoàn với chu kì T = \frac{2π}{5}.
Tìm tập xác định của hàm số y = \frac{1 + sin x}{cos x - 1}.,D = ℝ.,"D = ℝ \{ \frac{π}{2} + kπ, k ∈ ℤ }.","D = ℝ \{ kπ, k ∈ ℤ }.","D = ℝ \{ k²π, k ∈ ℤ }.",D,"Hàm số xác định khi và chỉ khi cos x - 1 ≠ 0 ⇔ cos x ≠ 1 ⇔ x ≠ k²π, k ∈ ℤ. Vậy tập xác định D = ℝ \{ k²π, k ∈ ℤ }."
"Trong các hàm số sau, hàm số nào có đồ thị đối xứng qua trục tung?",y = sin x cos 2x .,y = sin^3 x cos(x - \frac{π}{2}) .,y = \frac{tan x}{tan^2 x + 1} .,y = cos x sin^3 x .,B,"Ta dễ dàng kiểm tra được A, C, D là các hàm số lẻ nên có đồ thị đối xứng qua gốc tọa độ O. Xét đáp án B, ta có y = f(x) = sin^3 x . cos(x - \frac{π}{2}) = sin^4 x . Kiểm tra được đây là hàm số chẵn nên có đồ thị đối xứng qua trục tung."
"Trong các hàm số sau, hàm số nào có đồ thị đối xứng qua gốc tọa độ?",y = \cot 4x.,y = \frac{\sin x + 1}{\cos x}.,y = \tan^2 x.,y = |\cot x|.,A,Ta kiểm tra được đáp án A là hàm số lẻ nên có đồ thị đối xứng qua gốc tọa độ.
Tìm tập giá trị của hàm số y = 3\cos^{2}x + 5.,-1; 1,-1; 11,2; 8,5; 8,C,-1 ≤ cos^{2}x ≤ 1 → -3 ≤ 3cos^{2}x ≤ 3 → 2 ≤ 3cos^{2}x + 5 ≤ 8 → 2 ≤ y ≤ 8 → T = [2; 8].
Hàm số y = 5 + 4\sin 2x \cos 2x có tất cả bao nhiêu giá trị nguyên?,3,4,5,6,C,Ta có y = 5 + 2\sin 4x . Mà -1 ≤ \sin 4x ≤ 1 → -2 ≤ 2\sin 4x ≤ 2 → 3 ≤ 5 + 2\sin 4x ≤ 7 → 3 ≤ y ≤ 7 → y ∈ ℤ y ∈ {3; 4; 5; 6; 7} nên y có 5 giá trị nguyên.
Tìm giá trị nhỏ nhất m của hàm số y = -\sqrt{2} sin(2016x + 2017) .,m = -2016\sqrt{2}.,m = -\sqrt{2}.,m = -1.,m = -2017\sqrt{2}.,B,-1 ≤ sin(2016x + 2017) ≤ 1 → \sqrt{2} ≥ -\sqrt{2} sin(2016x + 2017) ≥ -\sqrt{2}. Do đó giá trị nhỏ nhất của hàm số là -\sqrt{2}.
Hàm số nào sau đây có chu kì khác \pi?,y = sin(\frac{π}{3} − 2x).,y = cos(2x + \frac{π}{4}).,y = tan(−2x + 1).,y = cos(x)sin(x).,C,Vì y = tan(−2x + 1) có chu kì T = \frac{π}{2}.
Hàm số y = cos^2x + 2sinx + 2 đạt giá trị nhỏ nhất tại x_0. Mệnh đề nào sau đây là đúng?,"x_0 = \frac{π}{2} + k2π, k ∈ ℤ","x_0 = -\frac{π}{2} + k2π, k ∈ ℤ","x_0 = π + k2π, k ∈ ℤ","x_0 = k2π, k ∈ ℤ",B,"Ta có y = cos^2x + 2sinx + 2 = 1 - sin^2x + 2sinx + 2 = -sin^2x + 2sinx + 3. Mà -1 ≤ sinx ≤ 1 → -2 ≤ sinx - 1 ≤ 0 → 0 ≤ (sinx - 1)^2 ≤ 4. → 0 ≥ -(sinx - 1)^2 ≥ -4 → 4 ≥ -(sinx - 1)^2 + 4 ≥ 0. Suy ra giá trị nhỏ nhất của hàm số bằng 0. Dấu “=” xảy ra ⇔ sinx = -1 ⇔ x = -\frac{π}{2} + k2π, k ∈ ℤ."
Cho hai hàm số f(x) = \frac{cos^2 x}{1 + sin^2 3x} và g(x) = \frac{|sin^2 x - cos 3x|}{2 + tan^2 x} . Mệnh đề nào sau đây là đúng?,f(x) là hàm số lẻ và g(x) là hàm số chẵn.,f(x) và g(x) là hàm số chẵn.,"f(x) là hàm số chẵn, g(x) là hàm số lẻ.",f(x) và g(x) là hàm số lẻ.,B,"Xét hàm số f(x) = \frac{cos^2 x}{1 + sin^2 3x}. TXĐ: D = ℝ. Do đó ∀x ∈ D ⇒ -x ∈ D. Ta có f(-x) = \frac{cos^2 x}{1 + sin^2 3x} = f(x) → f(x) là hàm số chẵn. Xét hàm số g(x) = \frac{|sin^2 x - cos 3x|}{2 + tan^2 x}. TXĐ: D = ℝ \ {kπ/2 + kπ, k ∈ ℤ}. Do đó ∀x ∈ D ⇒ -x ∈ D. Ta có g(-x) = \frac{|sin^2 x - cos 3x|}{2 + tan^2 x} = g(x) → g(x) là hàm số chẵn. Vậy f(x) và g(x) là hàm số chẵn."
Gọi lần lượt là giá trị lớn nhất và giá trị nhỏ nhất của hàm số \(y = sin^2 x - 4 sin x + 5\). Tính \(P = M - 2m^2\).,P = 1.,P = 7.,P = 8.,P = 2.,D,"Ta có \(y = sin^2 x - 4 sin x + 5 = (sin x - 2)^2 + 1\). Do \(-1 ≤ sin x ≤ 1 → -3 ≤ sin x - 2 ≤ -1 → 1 ≤ (sin x - 2)^2 ≤ 9\). \(→ 2 ≤ (sin x - 2)^2 + 1 ≤ 10 → M = 10, m = 2\). \(P = M - 2m^2 = 2\)."
Nghiệm của phương trình \sin 2x = 1 là,"x = \frac{π}{2} + k2π, k ∈ ℤ","x = \frac{π}{4} + kπ, k ∈ ℤ","x = \frac{π}{4} + k2π, k ∈ ℤ","x = \frac{kπ}{2}, k ∈ ℤ",B,"Ta có: sin 2x = 1 ⇔ 2x = \frac{π}{2} + k2π ⇔ x = \frac{π}{4} + kπ, k ∈ ℤ"
Tìm tất cả các giá trị thực của tham số m để phương trình x = m có nghiệm.,m \leq 1 .,m \geq 1 .,-1 \leq m \leq 1,m \leq -1,C,-1 \leq m \leq 1
Nghiệm của phương trình \cot x + \sqrt{3} = 0 là:,"x = \frac{π}{3} + k2π, k ∈ ℤ","x = \frac{π}{6} + kπ, k ∈ ℤ","x = -\frac{π}{6} + kπ, k ∈ ℤ","x = -\frac{π}{3} + kπ, k ∈ ℤ",C,"\cot x + \sqrt{3} = 0 ⇔ \cot x = -\sqrt{3} ⇔ x = -\frac{π}{6} + kπ, k ∈ ℤ"
Tập nghiệm của phương trình \sin 2x = \sin x là,S = \{k 2 \pi ; \frac{\pi}{3} + k 2 \pi | k \in ℤ\},>,S = \{k 2 \pi ; \frac{\pi}{3} + \frac{k 2 \pi}{3} | k \in ℤ\},>,B,Ta có \sin 2x = \sin x ⇔ 2x = x + k 2 \pi ⇔ 2x = \pi - x + k 2 \pi ⇔ x = k 2 \pi ⇔ x = \frac{\pi}{3} + \frac{k 2 \pi}{3} | k \in ℤ.
Phương trình \sin 2x = \cos x có nghiệm là,"x = \frac{\pi}{6} + \frac{k\pi}{3}, x = \frac{\pi}{2} + k2\pi, k \in ℤ",>,"x = \frac{\pi}{6} + \frac{k\pi}{3}, x = \frac{\pi}{3} + k2\pi",>,A,"\sin 2x = \cos x ⇔ \sin 2x = \sin \left[\frac{\pi}{2} - x\right] ⇔ x = \frac{\pi}{6} + \frac{k\pi}{3}, x = \frac{\pi}{2} + k2\pi, k \in ℤ"
Giải phương trình \sqrt{3}tan^2x - 3 = 0.,x = \frac{π}{3} + k\frac{π}{2} k ∈ ℤ,x = \frac{π}{3} + kπ k ∈ ℤ,x = \frac{π}{6} + k\frac{π}{2} k ∈ ℤ,x = \frac{π}{6} + kπ k ∈ ℤ,C,tan^2x - 3 = 0 ⇔ tan^2x = \sqrt{3} ⇔ 2x = \frac{π}{3} + kπ ⇔ x = \frac{π}{6} + k\frac{π}{2} k ∈ ℤ
Phương trình lượng giác 3\cot x - \sqrt{3} = 0 có nghiệm là:,"x = \frac{π}{6} + kπ, k ∈ ℤ.","x = \frac{π}{3} + kπ, k ∈ ℤ.","x = \frac{π}{3} + k2π, k ∈ ℤ.",Vô nghiệm.,B,"Ta có 3\cot x - \sqrt{3} = 0 ⇔ cot x = \frac{\sqrt{3}}{3} ⇔ cot x = cot \frac{π}{3} ⇔ x = \frac{π}{3} + kπ, k ∈ ℤ."
Phương trình lượng giác \cos 3x = \cos 12° có nghiệm là,"x = ±\frac{π}{15} + k2π, k ∈ ℤ","x = ±\frac{π}{45} + \frac{k2π}{3}, k ∈ ℤ",,>,B,"cos 3x = cos 12° ⇔ cos 3x = cos \frac{π}{15} ⇔ 3x = ±\frac{π}{15} + k2π, k ∈ ℤ ⇔ x = ±\frac{π}{45} + \frac{k2π}{3}, k ∈ ℤ"
Giải phương trình lượng giác 2\cos\frac{x}{2}+\sqrt{3}=0 có nghiệm là:,\frac{x=\pm \frac{5\pi}{3}+k2\pi}{k \in ℤ},>,x=\pm \frac{5\pi}{6}+k2\pi,>,D,"2\cos\frac{x}{2}+\sqrt{3}=0 ⇔ \cos\frac{x}{2}=−\frac{\sqrt{3}}{2} ⇔ \frac{x}{2}=±\frac{5\pi}{6}+k2\pi ⇔ x=±\frac{5\pi}{3}+k4\pi, k \in ℤ"
Tìm tất cả các giá trị thực của tham số m để phương trình cosx - m = 0 vô nghiệm.,m ∈ \{-∞; -1\} ∪ \{1; +∞\},m ∈ \{1; +∞\},m ∈ \[-1; 1\],m ∈ \{-∞; -1\},A,"Áp dụng điều kiện có nghiệm của phương trình cosx = a. - Phương trình có nghiệm khi |a| ≤ 1. - Phương trình vô nghiệm khi |a| > 1. Phương trình cosx - m = 0 ⇔ cosx = m. Do đó, phương trình cosx = m vô nghiệm ⇔ |m| > 1 ⇔ m < -1 ∨ m > 1."
Số nghiệm của phương trình \sin\left(x+\frac{π}{4}\right)=\frac{\sqrt{2}}{2} trên đoạn [0;π] là:,4,1,2,3,C,"Đặt x+\frac{π}{4}=α. Khi đó ta có phương trình \sin α=\frac{\sqrt{2}}{2}. Xét đường thẳng y=\frac{\sqrt{2}}{2} và đồ thị hàm số y=\sin a trên đoạn [0;π]: Từ đồ thị hàm số trên ta thấy đường thẳng y=\frac{\sqrt{2}}{2} cắt đồ thị số y=\sin a trên đoạn [0;π] tại hai điểm có hoành độ lần lượt là α1=\frac{π}{4} và α2=\frac{3π}{4}. Mà x+\frac{π}{4}=α, khi đó ta sẽ tìm được 2 giá trị x là x1=0 và x2=\frac{π}{2}."
Có bao nhiêu giá trị nguyên của m để phương trình \cos 2x + \sin x + m = 0 có nghiệm x ∈ [−\frac{π}{6}; \frac{π}{4}]?,2,1,0,3,A,"Ta có: \cos 2x + \sin x + m = 0 ⇔ 2\sin^2 x - \sin x - m - 1 = 0. Đặt t = \sin x, điều kiện t ∈ [−\frac{1}{2}; \frac{√2}{2}]. PT trở thành 2t^2 - t - m - 1 = 0. YCBT PT có nghiệm thuộc [−\frac{1}{2}; \frac{√2}{2}]. Số nghiệm của PT (1) là số giao điểm của parabol P: y = 2t^2 - t - 1 và đường thẳng d: y = m (song song hoặc trùng Ox)."
"Với mọi số thực \alpha, ta có \sin\left(\frac{9\pi}{2}+\alpha\right) bằng",-\sin\alpha.,\cos\alpha.,\sin\alpha.,-\cos\alpha.,B,\sin\left(\frac{9\pi}{2}+\alpha\right)=\sin\left(4\pi+\frac{\pi}{2}+\alpha\right)=\sin\left(\frac{\pi}{2}+\alpha\right)=\cos\alpha.
"Trên đường tròn lượng giác có điểm gốc là A. Điểm M thuộc đường tròn sao cho cung lượng giác AM có số đo 45°. Gọi N là điểm đối xứng với M qua trục Ox, số đo cung lượng giác AN bằng",− 45°,315°,45° hoặc 315°,"− 45° + k360°, k ∈ ℤ",D,"Vì số đo cung AM bằng 45° nên ÂOM = 45°, N là điểm đối xứng với M qua trục Ox nên ÂON = 45°. Do đó số đo cung AN bằng 45° nên số đo cung lượng giác AN có số đo là − 45° + k360°, k ∈ ℤ"
"Đơn giản biểu thức A = cos\left(α - \frac{π}{2}\right) + sin(α - π), ta được",A = cosα + sinα.,A = 2sinα.,A = sinαcosα.,A = 0.,D,Ta có A = cos\left(α - \frac{π}{2}\right) + sin(α - π) = cos\left(\frac{π}{2} - α\right) - sin(π - α) = sinα - sinα = 0.
Khẳng định nào sau đây đúng?,sin\(2018a\) = 2018sin\(a\).cos\(a\).,>,sin\(2018a\) = 2018sin\(1009a\).cos\(1009a\).,>,D,Áp dụng công thức sin\(2α\) = 2sin\(α\).cos\(α\) ta được sin\(2018a\) = 2sin\(1009a\).cos\(1009a\).
"Cho 0 < \alpha, \beta < \frac{\pi}{2} và thỏa mãn tan\alpha = \frac{1}{7}, tan\beta = \frac{3}{4}. Góc \alpha + \beta có giá trị bằng",\frac{\pi}{3},\frac{\pi}{4},\frac{\pi}{6},\frac{\pi}{2},B,Ta có tan(\alpha + \beta) = \frac{tan\alpha + tan\beta}{1 - tan\alpha . tan\beta} = \frac{\frac{1}{7} + \frac{3}{4}}{1 - \frac{1}{7} . \frac{3}{4}} = 1 suy ra \alpha + \beta = \frac{\pi}{4}.
Tính giá trị của biểu thức M = cos\frac{2π}{7} + cos\frac{4π}{7} + cos\frac{6π}{7}.,M = 0.,M = -\frac{1}{2}.,M = 1.,M = 2.,B,Áp dụng công thức sin a - sin b = 2.cos\frac{a+b}{2}.sin\frac{a-b}{2}. Ta có 2.sin\frac{π}{7}.M = 2.cos\frac{2π}{7}.sin\frac{π}{7} + 2.cos\frac{4π}{7}.sin\frac{π}{7} + 2.cos\frac{6π}{7}.sin\frac{π}{7} = sin\frac{3π}{7} - sin\frac{π}{7} + sin\frac{5π}{7} - sin\frac{3π}{7} + sin\frac{7π}{7} - sin\frac{5π}{7} = -sin\frac{π}{7} + sinπ = -sin\frac{π}{7}. Vậy giá trị biểu thức M = -\frac{1}{2}.
Mệnh đề nào sau đây là sai?,Hàm số y=\sin x tuần hoàn với chu kì 2\pi.,>,Hàm số y=\cos x tuần hoàn với chu kì 2\pi.,>,C,Vì hàm số y=\tan x tuần hoàn với chu kì \pi.
Tìm giá trị lớn nhất M và giá trị nhỏ nhất m của hàm số y = 3\sin x - 2.,"M = 1, m = -5.","M = 3, m = 1.","M = 2, m = -2.","M = 0, m = -2.",A,"-1 \leq \sin x \leq 1 \rightarrow -3 \leq 3\sin x \leq 3 \rightarrow -5 \leq 3\sin x - 2 \leq 1 \rightarrow -5 \leq y \leq 1 \rightarrow M = 1, m = -5."
Tìm tập xác định D của hàm số y = \sqrt{sin x - 2}.,"D = \{k \pi, k \in ℤ\}.",D = ℝ.,D = [-1; 1].,D = ∅.,D,"Ta có -1 ≤ sin x ≤ 1 → -3 ≤ sin x - 2 ≤ -1, ∀ x ∈ ℝ. Do đó không tồn tại căn bậc hai của sin x - 2. Vậy tập xác định D = ∅."
Nghiệm của phương trình \cos^{2}x=0 là:,"x=\frac{π}{2}+kπ, k ∈ ℤ",>,"x=±\frac{π}{2}+k2π, k ∈ ℤ",>,A,"\cos^{2}x=0 ⇔ cos x=0 ⇔ x=\frac{π}{2}+kπ, k ∈ ℤ"
Nghiệm của phương trình \sqrt{3}+3tanx=0 là:,"x=\frac{π}{3}+kπ, k ∈ ℤ","x=\frac{π}{2}+2kπ, k ∈ ℤ","x=-\frac{π}{6}+kπ, k ∈ ℤ","x=\frac{π}{2}+kπ, k ∈ ℤ",C,"tanx=-\sqrt{3}/3 ⇔ x=-\frac{π}{6}+kπ, k ∈ ℤ"
Tổng tất cả các nghiệm của phương trình \cos\left(\sin x\right) = 1 trên \left[0; 2\pi\right] bằng:,0,\pi,2\pi,3\pi,B,"Ta có x ∈ \left[0; 2\pi\right] ⇒ sin x ∈ \left[-1; 1\right]. Khi đó: cos\left(sin x\right) = 1 ⇔ sin x = k2\pi với k ∈ ℤ và -1 ≤ k2\pi ≤ 1 ⇔ k = 0. Phương trình trở thành sin x = 0 ⇔ x = m\pi ⇔ \left[x = 0, x = \pi\right] với m ∈ ℤ. Vậy tổng tất cả các nghiệm của phương trình cos\left(sin x\right) = 1 trên \left[0; 2\pi\right] bằng \pi."
