question,A,B,C,D,answer,reasoning
Cho góc \alpha thỏa mãn sin\alpha + cos\alpha = \frac{5}{4}. Tính P = sin\alpha.cos\alpha.,\frac{9}{16},\frac{9}{32},\frac{9}{8},\frac{1}{8},B,"Từ giả thiết, ta có (sin\alpha+cos\alpha)^2 = \frac{25}{16} ⇔ 1 +2sin\alpha.cos\alpha = \frac{25}{16}"
Cho góc \alpha thỏa mãn \pi < \alpha < \frac{3\pi}{2} và sin\alpha - 2cos\alpha = 1. Tính P = 2tan\alpha - cot\alpha.,2,\frac{1}{4},\frac{1}{6},\frac{1}{8},C,Với \pi < \alpha < \frac{3\pi}{2} suy ra ... (rest of the reasoning)
Khẳng định nào sau đây đúng?,sina.cosa.,>,sin(2018a) = 2018sin(1009a).cos(1009a).,>,D,Áp dụng công thức sin2\alpha = 2sin\alpha.cos\alpha ta được sin(2018a) = 2sin(1009a).cos(1009a).
Khẳng định nào sai trong các khẳng định sau?,sin^{2}x = \frac{1 - cos^{2}x}{2}.,cos^{2}x = \frac{1 + cos^{2}x}{2}.,sinx = 2sin\frac{x}{2}cos\frac{x}{2}.,cos^{3}x = cos^{3}x - sin^{3}x.,D,Ta có cos3x = 4cos^{3}x - 3cosx.
Công thức nào sau đây đúng?,cos3a = 3cosa - 4\cos^{3}a,cos3a = 4\cos^{3}a - 3cosa,cos3a = 3\cos^{3}a - 4cosa,cos3a = 4cosa - 3\cos^{3}a,B,
"Cho 0 < \alpha, \beta < \frac{\pi}{2} và thỏa mãn tan\alpha = \frac{1}{7}, tan\beta = \frac{3}{4}. Góc \alpha + \beta có giá trị bằng", \frac{\pi}{3}., \frac{\pi}{4}., \frac{\pi}{6}., \frac{\pi}{2}.,B,Ta có tan(\alpha + \beta) = \frac{tan\alpha + tan\beta}{1 - tan\alpha . tan\beta} = \frac{\frac{1}{7} + \frac{3}{4}}{1 - \frac{1}{7} . \frac{3}{4}} = 1 suy ra \alpha + \beta = \frac{\pi}{4}.
"Nếu tan(a+b) = 7, tan(a-b) = 4 thì giá trị đúng của tan2a là",-\frac{11}{27}.,\frac{11}{27}.,-\frac{13}{27}.,\frac{13}{27},A,Ta có tan2a = tan[(a+b)+(a-b)] = \frac{tan(a+b)+tan(a-b)}{1+tan(a+b).tan(a-b)}=\frac{7+4}{1-7.4}=\frac{-11}{27}.
Rút gọn biểu thức M = tanx - tany.,M = tan(x-y).,M = \frac{sin(x+y)}{cos x.cos y}.,M = \frac{sin(x-y)}{cos x.cos y}.,M = \frac{tan x - tan y}{1+tan x.tan y}.,C,Ta có M = tanx - tany = \frac{sin x}{cos x} - \frac{sin y}{cos y} = \frac{sin x.cos y - cos x.sin y}{cos x.cos y} = \frac{sin(x-y)}{cos x.cos y}.
Giá trị của biểu thức $P = \frac{sin\frac{5π}{18}cos\frac{π}{9}-sin\frac{π}{9}cos\frac{5π}{18}}{cos\frac{π}{4}cos\frac{π}{12}-sin\frac{π}{4}sin\frac{π}{12}}$ là,1,$\frac{1}{2}$,$\frac{\sqrt{2}}{2}$,$\frac{\sqrt{3}}{2}$,A,$Áp dụng công thức ... P = \frac{1}{2}: \frac{1}{2} = 1.$
"Trong ∆ABC, nếu \frac{sinB}{sinC} = 2cosA thì ∆ABC là tam giác có tính chất nào sau đây?",Cân tại ,Cân tại A.,Cân tại C.,Vuông tại B.,A,"Ta có \frac{sinB}{sinC} = 2cosA ⇒ sinB = 2sinC.cosA = sin(C+A)+sin(C-A) Mặt khác A+B+C = π ⇒ B = π-(A+C) ⇒ sinB = sin(A+C). Do đó, ta được sin(C-A) = 0 ⇒ A = C."
Cho góc \alpha thỏa mãn \frac{\pi}{2} < \alpha < \pi và \sin\alpha = \frac{4}{5}. Tính P = \sin2(\alpha + \pi).,P = -\frac{24}{25}.,P = \frac{24}{25}.,P = -\frac{12}{25}.,P = \frac{12}{25}.,A,"Ta có P = \sin2(\alpha + \pi) = \sin(2\alpha + 2\pi) = \sin2\alpha = 2\sin\alpha\cos\alpha. Từ hệ thức \sin^2\alpha + \cos^2\alpha = 1, suy ra \cos\alpha = ±\sqrt{1 - \sin^2\alpha} = ±\frac{3}{5}. Do \frac{\pi}{2} < \alpha < \pi nên ta chọn \cos\alpha = -\frac{3}{5}. Thay \sin\alpha = \frac{4}{5} và \cos\alpha = -\frac{3}{5} vào P, ta được P = 2.\frac{4}{5}.-\frac{3}{5} = -\frac{24}{25}."
"Cho x, y là các góc nhọn và dương thỏa mãn cotx = \frac{3}{4}, coty = \frac{1}{7}. Tổng x+y bằng",\frac{π}{4},\frac{3π}{4},\frac{π}{3},π,B,"Ta có cot(x+y) = \frac{cotx.coty-1}{cotx+coty}=\frac{\frac{3}{4}.\frac{1}{7}-1}{\frac{3}{4}+\frac{1}{7}}=-1. Mặt khác 0<x,y<\frac{π}{2} suy ra 0<x+y<π. Do đó x+y = \frac{3π}{4}."
Nếu tan\alpha và tan\beta là hai nghiệm của phương trình x^2+px+q = 0 (q\neq 1) thì tan(\alpha+\beta) bằng,\frac{p}{q-1},-\frac{p}{q-1},\frac{2p}{1-q},-\frac{2p}{1-q},A,"Vì tan\alpha , tan\beta là hai nghiệm của phương trình x^2+px+q = 0 nên theo định lí Viet, ta có Khi đó tan(\alpha+\beta) = \frac{tan\alpha+tan\beta}{1-tan\alpha tan\beta} = \frac{p}{q-1}."
Nếu \alpha + \beta + \gamma = \frac{\pi}{2} và cot\alpha + cot\gamma = 2cot\beta thì cot\alpha.cot\gamma bằng, \sqrt{3} , - \sqrt{3} , 3 , -3 ,C,"Từ giả thiết, ta có \alpha + \beta + \gamma = \frac{\pi}{2} ⇒ \beta = \frac{\pi}{2} - (\alpha + \gamma) . Suy ra cot\alpha + cot\gamma = 2cot\beta = 2.cot(\frac{\pi}{2} - (\alpha + \gamma)) = 2.tan(\alpha + \gamma) = 2.\frac{tan\alpha + tan\gamma}{1 - tan\alpha.tan\gamma} . Mặt khác \frac{tan\alpha + tan\gamma}{1 - tan\alpha.tan\gamma} = \frac{\frac{1}{cot\alpha} + \frac{1}{cot\gamma}}{1 - \frac{1}{cot\alpha}.\frac{1}{cot\gamma}} = \frac{cot\alpha + cot\gamma}{cot\alpha.cot\gamma - 1} nên suy ra cot\alpha + cot\gamma = 2.\frac{cot\alpha + cot\gamma}{cot\alpha.cot\gamma - 1} ⇔ cot\alpha.cot\gamma - 1 = 2 ⇔ cot\alpha.cot\gamma = 3."
Tìm tập xác định D của hàm số y = \frac{2021}{sin x}.,D = ℝ,D = ℝ\{0},"D = ℝ\{kπ, k ∈ ℤ}",D = ℝ\,C,"Hàm số xác định khi và chỉ khi sinx ≠ 0 ⇔ x ≠ kπ, k ∈ ℤ. Vậy tập xác định D = ℝ\{kπ, k ∈ ℤ}."
"Trong các hàm số sau đây, hàm số nào không tuần hoàn?",y = cosx,y = cos2x,y = x^2cosx,y = \frac{1}{sin^2x},C,
"Đường cong trong hình dưới đây là đồ thị của một hàm số trong bốn hàm số được liệt kê ở bốn phương án A, B, C, D.",,>,Hỏi hàm số đó là hàm số nào?,>,B,Ta thấy tại x = 0 thì y = 1. Do đó loại đáp án C và D. Tại x = \frac{π}{2} thì y = 0. Do đó chỉ có đáp án B thỏa mãn.
Tìm giá trị lớn nhất M và giá trị nhỏ nhất m của hàm số y = 3\sin x - 2,"M = 1, m = -5.","M = 3, m = 1","M = 2, m = -2","M = 0, m = -2",A,-1 \leq \sin x \leq 1 \rightarrow -3 \leq 3\sin x \leq 3 \rightarrow -5 \leq 3\sin x - 2 \leq 1
"Trong các hàm số sau, hàm số nào là hàm số chẵn?",y = sin2x,y = xcosx,y = cosx.cotx,y = \frac{tanx}{sinx},D,f(-x) = f(x) là hàm số chẵn.
Tìm tập giá trị của hàm số y = 3\cos2x + 5,T = [-1;1].,T = [-1;11],T = [2;8],T = [5;8],C,Ta có -1\leq \cos2x\leq 1 → -3\leq 3\cos2x\leq 3 → 2\leq 3\cos2x+5\leq 8 → 2\leq y\leq 8 → T = [2;8].
Hàm số y = 5+4sin2xcos2x có tất cả bao nhiêu giá trị nguyên?,3.,4.,5.,6.,C,Ta có y = 5+2sin4x. . Mà -1 \leq sin4x \leq 1 → -2 \leq 2sin4x \leq 2 → 3 \leq 5+2sin4x \leq 7 → y \leq 7 → 3 \leq y \leq 7 → y ∈ ℤ nên y có 5 giá trị nguyên.
"Gọi M, m lần lượt là giá trị lớn nhất và giá trị nhỏ nhất của hàm số y = sinx + cosx. Tính P = M - m.",P = 4,P = 2\sqrt{2},P = \sqrt{2},P = 2,B,Ta có y = sinx + cosx = \sqrt{2}sin\left(x+\frac{π}{4}\right). Mà -1 ≤ sin\left(x+\frac{π}{4}\right) ≤ 1 → -\sqrt{2} ≤ \sqrt{2}sin\left(x+\frac{π}{4}\right) ≤ \sqrt{2} → P = M - m = 2\sqrt{2}.
Tìm chu kì T của hàm số y = cos2x + sin\frac{π}{2},T = 4π,T = π,T = 2π,T = \frac{π}{2},A,Hàm số y = cos2x tuần hoàn với chu kì T₁ = \frac{2π}{2} = π. Hàm số y = sin\frac{x}{2} tuần hoàn với chu kì T₂ = \frac{2π}{\frac{1}{2}} = 4π. Suy ra hàm số y = cos2x + sin\frac{x}{2} tuần hoàn với chu kì T = 4π.
Tìm chu kì T của hàm số y = cos3x + cos5x.,T = \pi ,T = 3\pi ,T = 2\pi ,T = 5\pi ,C,Hàm số y = cos3x tuần hoàn với chu kì T_1 = \frac{2\pi}{3}. Hàm số Y = cos5x  tuần hoàn với chu kì T_2 = \frac{2\pi}{5}. Suy ra hàm số y = cos3x + cos5x tuần hoàn với chu kì T = 2\pi
Hàm số nào sau đây có chu kì khác \(\pi\)?,y = \sin\left(\frac{\pi}{3} - 2x\right).,y = \cos 2\left(x + \frac{\pi}{4}\right).,y = \tan(-2x+1).,y = \cos x\sin x,C,Vì y = \tan(-2x+1) có chu kì \neq \pi. Hàm số y = \cos x\sin x = \frac{1}{2}\sin 2x có chu kỳ là \pi.
"Trong các hàm số sau, hàm số nào có đồ thị đối xứng qua gốc tọa độ?",y = \frac{1}{sin^3 x}.,y = sin(x + \frac{π}{4}).,y = \sqrt{2}cos(x - \frac{π}{4}).,y = \sqrt{sin 2x}.,A,Kiểm tra được đáp án A là hàm số lẻ nên có đồ thị đối xứng qua gốc tọa độ.
Nghiệm của phương trình sinx = -1là:,x = -\frac{π}{2}+kπ (k∈ℤ).,x = -\frac{π}{2}+k2π (k∈ℤ).,x = kπ (k∈ℤ).,x = \frac{3π}{2}+kπ (k∈ℤ).,B,"sinx = -1 ⇔ x = -\frac{π}{2}+k2π, k∈ℤ."
Nghiệm của phương trình cosx = 1là:,x = k\pi (k\in ℤ).,x = \frac{\pi}{2}+k2\pi (k\in ℤ).,x = k2\pi (k\in ℤ).,x = \frac{\pi}{2}+k\pi (k\in ℤ).,C,"cosx = 1 ⇔ x = k2\pi, k\in ℤ."
Tìm tất cả các giá trị thực của tham số m để phương trình sinx = m có nghiệm.,m \leq 1.,m \geq -1.,-1 \leq m \leq 1.,m \leq -1.,C,"Với mọi x \in \mathbb{R}, ta luôn có -1 \leq m \leq 1. Do đó, phương trình sinx = m có nghiệm khi và chỉ khi -1 \leq m \leq 1."
Nghiệm của phương trình \sqrt{3} + 3tanx = 0 là:,"x = \frac{π}{3} + kπ, k ∈ ℤ","x = \frac{π}{2} + k2π, k ∈ ℤ","x = -\frac{π}{6} + kπ, k ∈ ℤ","x = \frac{π}{2} + kπ, k ∈ ℤ",C,"\sqrt{3} + 3tanx = 0 ⇔ tanx = -\frac{\sqrt{3}}{3} ⇔ x = -\frac{π}{6} + kπ, k ∈ ℤ"
Tập nghiệm của phương trình sin2x = sinx là,12,Bài tập Phương trình lượng giác cơ bản (có đáp án) | Kết nối tri thức Trắc nghiệm Toán 11,,>,B,Ta có sin2x = sinx ⇔
Phương trình sin2x = cosx có nghiệm là,12,Bài tập Phương trình lượng giác cơ bản (có đáp án) | Kết nối tri thức Trắc nghiệm Toán 11,,>,A,sin2x = cosx \iff sin2x = sin\frac{\pi}{2} - x
Giải phương trình \sqrt{3}tan2x - 3 = 0.,x = \frac{π}{3} + k\frac{π}{2} k ∈ ℤ.,x = \frac{π}{3} + kπ k ∈ ℤ.,x = \frac{π}{6} + k\frac{π}{2} k ∈ ℤ.,x = \frac{π}{6} + kπ k ∈ ℤ.,C,\sqrt{3}tan2x - 3 = 0 ⇔ tan2x = \sqrt{3} ⇔ 2x = \frac{π}{3}+kπ ⇔ x = \frac{π}{6}+k\frac{π}{2} k ∈ ℤ.
Phương trình lượng giác 3cot - \sqrt{3} = 0 có nghiệm là:,"x = \frac{π}{6} + kπ, k ∈ ℤ","x = \frac{π}{3} + kπ, k ∈ ℤ","x = \frac{π}{3} + 2kπ, k ∈ ℤ",Vô nghiệm,B,"Ta có 3cotx - \sqrt{3} = 0 ⇔ cotx = \frac{\sqrt{3}}{3} ⇔ cotx = cot\frac{π}{3} ⇔ x = \frac{π}{3} + kπ, k ∈ ℤ."
Tìm tất cả các giá trị thực của tham số m để phương trình cosx - m = 0 vô nghiệm.,m \in \{-\infty; -1\} \cup \{1; +\infty\}.,m \in \{1; +\infty\}.,m \in [-1;1].,m \in \{-\infty; -1\}.,A,"Áp dụng điều kiện có nghiệm của phương trình cosx = a. - Phương trình có nghiệm khi |a| \leq 1. - Phương trình vô nghiệm khi |a| > 1. Phương trình cosx - m = 0 \Leftrightarrow cosx = m. Do đó, phương trình cosx = m vô nghiệm \Leftrightarrow |m| > 1."
Tổng tất cả các nghiệm của phương trình cos(sin(x)) = 1 trên [0;2\pi] bằng:,0.,\pi.,2\pi.,3\pi.,B,Ta có x ∈ [0;2\pi] ⇒ sinx ∈ [-1;1] Khi đó: cos(sinx) = 1 ⇔ sinx = k2\pi (k ∈ ℤ) với -1 ≤ k2\pi ≤ 1 ⇔ k = 0. Phương trình trở thành sinx = 0 ⇔ x = m\pi ⇔ ... Vậy tổng tất cả các nghiệm của phương trình cos(sinx) = 1 trên [0;2\pi] bằng \pi.
Số nghiệm của phương trình \sin\left(x+\frac{π}{4}\right) = \frac{\sqrt{2}}{2} trên đoạn [0;π] là:,4,1,2,3,C,"Đặt x+\frac{π}{4}=α. Khi đó ta có phương trình \sinα=\frac{\sqrt{2}}{2}. Xét đường thẳng y=\frac{\sqrt{2}}{2} và đồ thị hàm số y = \sin a trên đoạn [0;π]: Từ đồ thị hàm số trên ta thấy đường thẳng y=\frac{\sqrt{2}}{2} cắt đồ thị số y = \sin a trên đoạn [0;π] tại hai điểm có hoành độ lần lượt là α₁=\frac{π}{4} và α₂=\frac{3π}{4}. Mà x+\frac{π}{4}=α, khi đó ta sẽ tìm được 2 giá trị x là x₁ = 0 và x₂=\frac{π}{2}."
Giá trị m để phương trình 5sinx - m = tan^2x(sinx - 1) có đúng 3 nghiệm thuộc \(-\pi; \frac{\pi}{2}\) là,-1 < m \leq \frac{5}{2}.,0 < m \leq 5.,0 < m \leq \frac{11}{2}.,-1 < m \leq 6.,C,"Điều kiện cosx \neq 0 \Leftrightarrow x \neq \frac{\pi}{2} + k\pi, k \in ℤ. Ta có: 5sinx - m = tan^2x(sinx - 1) \Leftrightarrow 5sinx - m = \frac{sin^2x}{(1-sinx)(1+sinx)}(sinx-1) \Leftrightarrow 6sin^2x - (m-5)sinx - m = 0. Đặt t = sinx => t \in (-1;1) PT trở thành 6t^2 - (m-5)t - m = 0 (1) YCBT \Leftrightarrow PT (1) có 2 nghiệm phân biệt thỏa -1 < t_1 < 0 \leq t_2 < 1."
